City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
218,218,Gigmoto,PH,2021-11-29 00:31:55,13.7796,124.39,82.47,81,97,8.72
219,219,Balagansk,RU,2021-11-29 00:31:55,54.0103,103.0544,20.98,93,100,11.81
220,220,Rajula,IN,2021-11-29 00:31:23,21.05,71.4333,72.36,49,100,8.43
221,221,Moussoro,TD,2021-11-29 00:31:56,13.6408,16.4901,75.58,14,15,9.98
222,222,Saint-Francois,FR,2021-11-29 00:31:56,46.4154,3.9054,33.24,93,90,11.5
223,223,Narrabri,AU,2021-11-29 00:31:56,-30.3167,149.7833,77.09,57,90,11.5
224,224,Kaniama,CD,2021-11-29 00:31:57,-7.5667,24.1833,64.69,95,100,2.8
225,225,Severo-Kurilsk,RU,2021-11-29 00:31:57,50.6789,156.125,34.11,71,99,16.49
226,226,Bethel,US,2021-11-29 00:31:58,41.3712,-73.414,36.18,80,90,0.0
227,227,Bandarbeyla,SO,2021-11-29 00:31:58,9.4942,50.8122,76.86,77,29,17.27
228,228,Salalah,OM,2021-11-29 00:31:58,17.0151,54.0924,73.49,78,0,5.75
229,229,Kiruna,SE,2021-11-29 00:27:44,67.8557,20.2251,-15.68,76,100,0.0
230,230,Naze,JP,2021-11-29 00:31:59,28.3667,129.4833,67.12,67,100,15.84
231,231,Sao Filipe,CV,2021-11-29 00:32:59,14.8961,-24.4956,75.61,70,98,13.29
232,232,Bonavista,CA,2021-11-29 00:33:00,48.6499,-53.1147,37.4,81,57,16.62
233,233,Ulladulla,AU,2021-11-29 00:33:00,-35.35,150.4667,65.3,58,52,7.76
234,234,Honningsvag,NO,2021-11-29 00:33:00,70.9821,25.9704,18.48,91,76,24.38
235,235,Aguas Vermelhas,BR,2021-11-29 00:33:01,-15.7472,-41.46,65.75,98,8,2.3
236,236,Belaya Gora,RU,2021-11-29 00:33:01,68.5333,146.4167,-17.0,99,100,3.2
237,237,Huambo,AO,2021-11-29 00:33:01,-12.7761,15.7392,59.76,98,100,0.83
238,238,Hamirpur,IN,2021-11-29 00:33:02,25.95,80.15,61.57,52,13,1.7
239,239,Sobolevo,RU,2021-11-29 00:33:02,54.4299,31.8996,37.13,98,100,10.67
240,240,Kavieng,PG,2021-11-29 00:33:02,-2.5744,150.7967,83.59,75,97,9.28
241,241,Roald,NO,2021-11-29 00:33:03,62.5833,6.1333,28.54,69,20,12.66
242,242,Flin Flon,CA,2021-11-29 00:33:03,54.7682,-101.865,17.44,79,90,6.91
243,243,Ixtapa,MX,2021-11-29 00:33:03,20.7,-105.2,81.63,65,20,8.05
244,244,Saldanha,ZA,2021-11-29 00:33:04,-33.0117,17.9442,60.85,86,99,4.81
245,245,Yulara,AU,2021-11-29 00:33:04,-25.2406,130.9889,82.24,18,0,14.97
246,246,General Teran,MX,2021-11-29 00:33:04,25.2667,-99.6833,63.84,61,100,6.04
247,247,Sur,OM,2021-11-29 00:33:05,22.5667,59.5289,72.64,63,6,5.59
248,248,Luderitz,,2021-11-29 00:33:05,-26.6481,15.1594,59.41,84,67,5.97
249,249,Narsaq,GL,2021-11-29 00:33:06,60.9167,-46.05,37.62,99,100,2.59
250,250,Katsuura,JP,2021-11-29 00:33:06,35.1333,140.3,48.31,50,96,6.93
251,251,Petropavlovsk-Kamchatskiy,RU,2021-11-29 00:32:15,53.0452,158.6483,23.59,54,0,11.18
252,252,Castro,BR,2021-11-29 00:33:06,-24.7911,-50.0119,68.95,60,100,7.05
253,253,Wasilla,US,2021-11-29 00:33:07,61.5814,-149.4394,0.55,82,90,0.0
254,254,Palauig,PH,2021-11-29 00:33:07,15.435,119.9045,84.42,66,36,2.95
255,255,Vestmannaeyjar,IS,2021-11-29 00:33:07,63.4427,-20.2734,45.19,92,100,18.95
256,256,Paramonga,PE,2021-11-29 00:33:08,-10.6667,-77.8333,66.38,86,100,9.04
257,257,Baykit,RU,2021-11-29 00:33:08,61.67,96.37,11.1,89,100,10.76
258,258,Sembe,CG,2021-11-29 00:33:08,1.6481,14.5806,72.05,78,100,1.45
259,259,Vao,NC,2021-11-29 00:33:09,-22.6667,167.4833,75.96,89,59,19.48
260,260,Mikhaylovskoye,RU,2021-11-29 00:33:09,51.8239,79.7172,15.19,83,92,5.84
261,261,Vila Velha,BR,2021-11-29 00:33:09,-20.3297,-40.2925,71.55,88,40,9.22
262,262,Saint-Augustin,CA,2021-11-29 00:33:10,51.226,-58.6502,33.71,88,83,19.77
263,263,Mazamari,PE,2021-11-29 00:33:10,-11.3258,-74.5308,69.93,96,100,2.39
264,264,Hovd,MN,2021-11-29 00:33:11,48.0056,91.6419,14.65,44,0,0.81
265,265,Severomorsk,RU,2021-11-29 00:33:11,69.0689,33.4162,4.03,91,22,10.04
266,266,Pitea,SE,2021-11-29 00:33:11,65.3172,21.4794,14.79,84,100,2.33
267,267,Yakeshi,CN,2021-11-29 00:33:12,49.2833,120.7333,6.13,93,98,4.92
268,268,Tarakan,ID,2021-11-29 00:33:12,3.3,117.6333,78.3,89,75,6.91
269,269,Riachao Do Dantas,BR,2021-11-29 00:28:12,-11.0689,-37.725,72.32,93,100,5.28
270,270,Huarmey,PE,2021-11-29 00:33:12,-10.0681,-78.1522,67.12,84,100,8.39
271,271,Kita,ML,2021-11-29 00:33:13,13.0349,-9.4895,76.08,23,6,4.34
272,272,Shingu,JP,2021-11-29 00:33:13,33.7333,135.9833,54.59,53,5,0.92
273,273,Eyl,SO,2021-11-29 00:33:14,7.9803,49.8164,74.46,75,49,12.88
274,274,Dunedin,NZ,2021-11-29 00:32:27,-45.8742,170.5036,65.03,53,52,7.05
275,275,West Wendover,US,2021-11-29 00:33:14,40.7391,-114.0733,42.01,42,1,0.0
276,276,Vinh,VN,2021-11-29 00:33:14,18.6667,105.6667,68.56,76,100,4.9
277,277,Santa Maria,BR,2021-11-29 00:33:15,-29.6842,-53.8069,72.7,83,75,5.75
278,278,Sinnamary,GF,2021-11-29 00:33:15,5.3833,-52.95,77.27,90,97,9.08
